date_taken;weekday;hours;freq
2016-07-28;Thursday;3;0
2016-07-28;Thursday;9;3
2016-07-28;Thursday;15;11
2016-07-28;Thursday;21;3
2016-07-29;Friday;3;0
2016-07-29;Friday;9;1
2016-07-29;Friday;15;10
2016-07-29;Friday;21;0
2016-07-30;Saturday;3;0
2016-07-30;Saturday;9;1
2016-07-30;Saturday;15;3
2016-07-30;Saturday;21;1
2016-07-31;Sunday;3;0
2016-07-31;Sunday;9;3
2016-07-31;Sunday;15;2
2016-07-31;Sunday;21;0
2016-08-01;Monday;3;0
2016-08-01;Monday;9;0
2016-08-01;Monday;15;0
2016-08-01;Monday;21;0
2016-08-02;Tuesday;3;0
2016-08-02;Tuesday;9;0
2016-08-02;Tuesday;15;0
2016-08-02;Tuesday;21;0
2016-08-03;Wednesday;3;0
2016-08-03;Wednesday;9;0
2016-08-03;Wednesday;15;2
2016-08-03;Wednesday;21;1
2016-08-04;Thursday;3;0
2016-08-04;Thursday;9;11
2016-08-04;Thursday;15;29
2016-08-04;Thursday;21;4
2016-08-05;Friday;3;0
2016-08-05;Friday;9;1
2016-08-05;Friday;15;9
2016-08-05;Friday;21;1
2016-08-06;Saturday;3;0
2016-08-06;Saturday;9;10
2016-08-06;Saturday;15;56
2016-08-06;Saturday;21;1
2016-08-07;Sunday;3;0
2016-08-07;Sunday;9;0
2016-08-07;Sunday;15;0
2016-08-07;Sunday;21;0
2016-08-08;Monday;3;0
2016-08-08;Monday;9;0
2016-08-08;Monday;15;0
2016-08-08;Monday;21;0
2016-08-09;Tuesday;3;0
2016-08-09;Tuesday;9;0
2016-08-09;Tuesday;15;8
2016-08-09;Tuesday;21;4
2016-08-10;Wednesday;3;0
2016-08-10;Wednesday;9;0
2016-08-10;Wednesday;15;0
2016-08-10;Wednesday;21;0
2016-08-11;Thursday;3;0
2016-08-11;Thursday;9;0
2016-08-11;Thursday;15;5
2016-08-11;Thursday;21;0
2016-08-12;Friday;3;0
2016-08-12;Friday;9;0
2016-08-12;Friday;15;0
2016-08-12;Friday;21;0
2016-08-13;Saturday;3;0
2016-08-13;Saturday;9;0
2016-08-13;Saturday;15;0
2016-08-13;Saturday;21;0
2016-08-14;Sunday;3;0
2016-08-14;Sunday;9;0
2016-08-14;Sunday;15;0
2016-08-14;Sunday;21;0
2016-08-15;Monday;3;0
2016-08-15;Monday;9;0
2016-08-15;Monday;15;0
2016-08-15;Monday;21;0
2016-08-16;Tuesday;3;0
2016-08-16;Tuesday;9;1
2016-08-16;Tuesday;15;0
2016-08-16;Tuesday;21;0
2016-08-17;Wednesday;3;0
2016-08-17;Wednesday;9;1
2016-08-17;Wednesday;15;1
2016-08-17;Wednesday;21;0
2016-08-18;Thursday;3;0
2016-08-18;Thursday;9;0
2016-08-18;Thursday;15;0
2016-08-18;Thursday;21;0
2016-08-19;Friday;3;0
2016-08-19;Friday;9;0
2016-08-19;Friday;15;2
2016-08-19;Friday;21;0
2016-08-20;Saturday;3;1
2016-08-20;Saturday;9;0
2016-08-20;Saturday;15;5
2016-08-20;Saturday;21;0
2016-08-21;Sunday;3;0
2016-08-21;Sunday;9;0
2016-08-21;Sunday;15;0
2016-08-21;Sunday;21;0
2016-08-22;Monday;3;0
2016-08-22;Monday;9;0
2016-08-22;Monday;15;0
2016-08-22;Monday;21;0
2016-08-23;Tuesday;3;0
2016-08-23;Tuesday;9;0
2016-08-23;Tuesday;15;1
2016-08-23;Tuesday;21;2
2016-08-24;Wednesday;3;0
2016-08-24;Wednesday;9;0
2016-08-24;Wednesday;15;0
2016-08-24;Wednesday;21;0
2016-08-25;Thursday;3;0
2016-08-25;Thursday;9;0
2016-08-25;Thursday;15;0
2016-08-25;Thursday;21;0
2016-08-26;Friday;3;0
2016-08-26;Friday;9;0
2016-08-26;Friday;15;1
2016-08-26;Friday;21;0
2016-08-27;Saturday;3;0
2016-08-27;Saturday;9;4
2016-08-27;Saturday;15;13
2016-08-27;Saturday;21;0
2016-08-28;Sunday;3;0
2016-08-28;Sunday;9;0
2016-08-28;Sunday;15;3
2016-08-28;Sunday;21;1
2016-08-29;Monday;3;0
2016-08-29;Monday;9;0
2016-08-29;Monday;15;1
2016-08-29;Monday;21;0
2016-08-30;Tuesday;3;0
2016-08-30;Tuesday;9;0
2016-08-30;Tuesday;15;5
2016-08-30;Tuesday;21;6
2016-08-31;Wednesday;3;0
2016-08-31;Wednesday;9;0
2016-08-31;Wednesday;15;7
2016-08-31;Wednesday;21;0
2016-09-01;Thursday;3;0
2016-09-01;Thursday;9;0
2016-09-01;Thursday;15;0
2016-09-01;Thursday;21;0
2016-09-02;Friday;3;0
2016-09-02;Friday;9;0
2016-09-02;Friday;15;0
2016-09-02;Friday;21;0
2016-09-03;Saturday;3;0
2016-09-03;Saturday;9;0
2016-09-03;Saturday;15;8
2016-09-03;Saturday;21;0
2016-09-04;Sunday;3;0
2016-09-04;Sunday;9;0
2016-09-04;Sunday;15;5
2016-09-04;Sunday;21;0
2016-09-05;Monday;3;0
2016-09-05;Monday;9;0
2016-09-05;Monday;15;8
2016-09-05;Monday;21;0
2016-09-06;Tuesday;3;0
2016-09-06;Tuesday;9;0
2016-09-06;Tuesday;15;4
2016-09-06;Tuesday;21;8
2016-09-07;Wednesday;3;0
2016-09-07;Wednesday;9;0
2016-09-07;Wednesday;15;0
2016-09-07;Wednesday;21;2
2016-09-08;Thursday;3;0
2016-09-08;Thursday;9;1
2016-09-08;Thursday;15;0
2016-09-08;Thursday;21;1
2016-09-09;Friday;3;0
2016-09-09;Friday;9;0
2016-09-09;Friday;15;4
2016-09-09;Friday;21;0
2016-09-10;Saturday;3;0
2016-09-10;Saturday;9;0
2016-09-10;Saturday;15;2
2016-09-10;Saturday;21;0
2016-09-11;Sunday;3;0
2016-09-11;Sunday;9;0
2016-09-11;Sunday;15;0
2016-09-11;Sunday;21;0
2016-09-12;Monday;3;0
2016-09-12;Monday;9;0
2016-09-12;Monday;15;3
2016-09-12;Monday;21;0
2016-09-13;Tuesday;3;0
2016-09-13;Tuesday;9;3
2016-09-13;Tuesday;15;8
2016-09-13;Tuesday;21;1
2016-09-14;Wednesday;3;0
2016-09-14;Wednesday;9;0
2016-09-14;Wednesday;15;9
2016-09-14;Wednesday;21;7
2016-09-15;Thursday;3;0
2016-09-15;Thursday;9;0
2016-09-15;Thursday;15;3
2016-09-15;Thursday;21;11
2016-09-16;Friday;3;0
2016-09-16;Friday;9;0
2016-09-16;Friday;15;1
2016-09-16;Friday;21;0
2016-09-17;Saturday;3;0
2016-09-17;Saturday;9;2
2016-09-17;Saturday;15;16
2016-09-17;Saturday;21;0
2016-09-18;Sunday;3;0
2016-09-18;Sunday;9;2
2016-09-18;Sunday;15;7
2016-09-18;Sunday;21;5
2016-09-19;Monday;3;0
2016-09-19;Monday;9;0
2016-09-19;Monday;15;0
2016-09-19;Monday;21;0
2016-09-20;Tuesday;3;0
2016-09-20;Tuesday;9;1
2016-09-20;Tuesday;15;14
2016-09-20;Tuesday;21;5
2016-09-21;Wednesday;3;0
2016-09-21;Wednesday;9;0
2016-09-21;Wednesday;15;2
2016-09-21;Wednesday;21;10
